tweet,username,creation date
"@BasedPoland @Marliaduiputeri The ""climate change"" hoax is another in a long list of attempts of plutocratic elites to attain even more power and control. If you agree with people like Rotschild, you need serious introspection.",Tzar,2019-10-01 18:52:40
Climate Change and Clean-Tech Podcast: Founder and CEO of Kaiserwetter Energy Asset Management GmbH Talks about Investing in #Renewable Energy https://t.co/yWUHe7rlM4,InvestorIdeas.com,2019-10-01 18:52:35
Climate Change and Clean-Tech Podcast: Founder and CEO of Kaiserwetter Energy Asset Management GmbH Talks about Investing in #Renewable Energy https://t.co/PpyBkMrnKk,InvestorIdeas.com,2019-10-01 18:52:35
Cleantech and Climate change podcast interview with Solar Analyst J Peter Lynch https://t.co/rbsS4FsaK0,InvestorIdeas.com,2019-10-01 18:52:34
Investor Ideas Climate Change and CleanTech Podcast- Interview with owner and founder of BioGen Ag Systems https://t.co/ePIxUehnQ2,InvestorIdeas.com,2019-10-01 18:52:34
Investor Ideas Climate Change and CleanTech Podcast - Looking at Gas Prices and Electric Vehicles: (NASDAQ: $SOLO) (NYSE: $GM) (NASDAQ: $TSLA) https://t.co/uy1HukwxpQ,InvestorIdeas.com,2019-10-01 18:52:33
Investor Ideas Climate Change and Clean-Tech Podcast - Recycling Problems and Solutions (NASDAQ: $LOOP) (OTC: $NSRGY) https://t.co/pEEvbiiBOz,InvestorIdeas.com,2019-10-01 18:52:33
Series is focused on climate change solutions - Martha's Vineyard Times https://t.co/pJEK8YUwkv,Climate Change,2019-10-01 18:52:32
"@smartguitar1 I'm old enough to remember when they told us in the 70's that smog would dimm the atmosphere and bring on a new ice age, or, in 1989, another tipping point statement from the UN said global warming would be irreversible by 2000. Climate Change is the doomsday cult of the left.",Bryan Smart,2019-10-01 18:52:31
"@wellhat @a_leesha1 You've a loose definition of trolling

She has good intentions but outcomes are leading to ""Eco -Anxiety"", kids likelier to become Nihilistic

Unless there's a plan to address Climate Change w/o a severe reduction in Living Standards we're fucked anyways",domingo,2019-10-01 18:52:31
"All of these options were a type of charity that we felt thematically tied to KAITO well:
[1] music (VOCALOID)
[2] environmental (global warming makes ice cream melt!)
[3] knitwear/blankets for vulnerable animals (scarf)
[4] children (niisan)",ABCD Project @ charity zine,2019-10-01 18:52:30
Cool to see one of my recent articles in @RollingStone https://t.co/OR1TjAG57m,Zoya Teirstein,2019-10-01 18:52:29
"A selfie with @BrianSchatz at the United Nations.
 
Meeting with activists and leaders who are working to address climate change left me inspired to keep up the fight in the Senate. https://t.co/4GXgllzrnN",Senator Tina Smith,2019-10-01 18:52:27
"Jeez, someone recycles one fucking plastic bottle and all of a sudden they’re a climate change activist.",Donny Mays,2019-10-01 18:52:26
What if climate change isn’t really real and we accidentally clean up the planet for no reason???,John Kale,2019-10-01 18:52:23
Holy shit...everyone's worried about global warming when we're about to get attacked by aliens. https://t.co/AJnVvHOYVR,HitZnWinZ,2019-10-01 18:52:22
"@Buttertuppie @GavinNewsom The people (on both sides of the isle) are FED UP with @GavinNewsome &amp; now asking for a state of emergency RE: the homeless crises and all the problems it's causing; meanwhile Gavin ignores, and spends his time talking about 'faux' climate change.",Bre * Game Over,2019-10-01 18:52:21
Britain's 'underwater forests' could be key to beating climate change says Sir David Attenborough https://t.co/2TrJtlt7RM,Alexandra #TIR #FBIR 🧩🌎,2019-10-01 18:52:19
Global warming angry today,lilsamsquanch,2019-10-01 18:52:19
"@NewshubNZ What will more protestors achieve, be very careful because as more people realise this climate change is a hoax, your numbers will dwindle..",maxmi,2019-10-01 18:52:11
her fighting for climate change isn’t what ruined her childhood it’s the fact that she &amp; the earth she lives on is gonna die https://t.co/HanYlTJ4Cb,daniel caesar pls love me,2019-10-01 18:52:10
@VaguelyFunnyDan Truly. They really put the responsibility of climate change on the consumer when the pressure needs to be put on the producers to produce responsibly. I’m tired,ThikcBicth,2019-10-01 18:52:07
@BNW_Ben Why do I need to accept someone's BS climate change agenda to get affordable electricity?,29 others,2019-10-01 18:52:02
"Not in the attempt to start a debate, but rather stemming from general confusion:

Why are people on twitter saying that rich people should “pay for global warming” when they voice we should do something about it? 

#ClimateChange #globalwarming",Sam Breckenridge,2019-10-01 18:52:01
@IlhanMN Representing science fiction as a truth doesn’t make it a fact. Climate change=regulation and taxes. Fight against globalism. Follow the money. #socialism #depopulationagenda #agenda21,lola,2019-10-01 18:52:01
@IlhanMN Pontificating about climate change doesn't make it any more real.,Shawn G ⚡,2019-10-01 18:52:00
Global warming data FAKED by government to fit climate change fictions https://t.co/iYjQCxdQzn,Alirio Rodriguez,2019-10-01 18:51:53
"500 Scientists say No Climate Change to UN. 
https://t.co/3MPL6mKW8l",Doug Sehorne,2019-10-01 18:51:44
Climate change and I ain't about the weather https://t.co/4iWJDO9SRX,daveeverwhats,2019-10-01 18:51:43
"@stutteringjohnm John,he applauds the climate change scientists.  Where are you getting your information? No kidding, I listen to you and him every show. A fan of both, where do u get he is denying climate change? Btw where's Monday's show? Got a day off today. Usally listen on weekends.",Zappa Fan Holdcraft,2019-10-01 18:51:41
@realtworoosters @MarissaARoss @bonappetit @healthy_ish Vintage change doesn’t matter when climate change is real 🤷🏾‍♂️,𝕞𝕒𝕩𝕚𝕟𝕖 𝕞𝕠𝕥𝕙𝕖𝕣𝕗𝕦𝕔𝕜𝕚𝕟 𝕨𝕒𝕥𝕖𝕣𝕤,2019-10-01 18:51:38
"@va_shiva I know now that climate change is not antropogenic.

What are the most critical, short and mid term consequences of heliogenic global climate change then ???",Le Coquin,2019-10-01 18:51:37
"@FernandoLeanme @BD_CDA @GeraldKutney Fernando I see you are looking for the brightest and best opinions regarding climate change

https://t.co/F6aKkQX8Kx",James Protheroe⚑,2019-10-01 18:51:35
"WATCH 🎥: @REisenbergNAM testified before a House subcommittee on climate change, sharing what manufacturers are doing to reduce emissions. Learn more: https://t.co/NeYNAE8CeO https://t.co/GzKO31AEFd",The NAM,2019-10-01 18:51:35
"This a horrible stance, everyone plays a part in change, and the fact that people think a actor and a singer have the power to change climate change because they’ve made $70 million in their career, just shows how uninformed people are. https://t.co/1IXsLBRXRg",Trajen Lee Johnson,2019-10-01 18:51:29
Global Warming Fraud Exposed In Pictures | Zero Hedge https://t.co/k8mz3aXja3,Monique,2019-10-01 18:51:26
"Even if scientists are wrong about Climate Change what are the consequences of that?
-A Clean Planet 
-Saving species from extinction 
-Saving entire ecosystems and habits
-Clean Air and Water
-Renewable, clean, nearly unlimited energy",Jack Cook,2019-10-01 18:51:26
"Pennsylvania is one of the country’s leading producers of methane, a powerful greenhouse gas that is a major contributor to global warming.

https://t.co/PcEEp7TaW1",PennFuture,2019-10-01 18:51:25
"Australia’s vast carbon sink releasing millions of tonnes of CO2 back into atmosphere.
Australia’s mangroves and seagrass meadows absorb 20m tonnes of CO2 a year but report warns damage to ecosystems contributing to climate change. 

https://t.co/Kh84iPKv96",Jos Olivier,2019-10-01 18:51:24
"I’m really upset about this whole climate change shit. It’s the first of October and it’s 93 degrees in Atlanta right now. 

I’m tryna really start dressin! https://t.co/rF1hIcjaYX",🌱,2019-10-01 18:51:23
No party’s climate plan will avoid dangerous global warming levels : https://t.co/Y60euu6BGr,Karen Levenson,2019-10-01 18:51:20
"@ObinnaOmoyiibo @Ferguso41444668 @channelstv Bro, your point is valid but the truth has to be said. It's a simple fact that is clear to all that we can't join in the fight against climate change. At this stage, it's practically impossible. Not that it won't be done eventually but now? nah.",Alex Anthony,2019-10-01 18:51:19
"Climate change ain’t working hard enough, it’s cold as fvck https://t.co/ALqRIJZOrt",Somaya New,2019-10-01 18:51:18
@BestbeanN @harif2 @IlhanMN Every libtards is saying it.  What good is a carbon tax?  How will that stop climate change?,Fucktwwitter,2019-10-01 18:51:15
@elonmusk @SS4Adrian I know your a good guy soo pleace help deal with climate change before we all get fucked by desiese in 18 months.,Draggy,2019-10-01 18:51:13
@BreakingNLive @jakepalmieri OMG What A Bunch Of Phony’s With This Bull 💩 Climate Change,Sandee Lee,2019-10-01 18:51:12
@StormTrack9Dave David Glenn have you ever done a story on the giant Dam in China that has more water than any body of water in the world that has tilted the Earth 2 degrees and it's still feeling that might be something involved in climate change check it out,Matthew  Young,2019-10-01 18:51:12
"@GovInslee, it was an honour to meet you back in the day in gorgeous Washington State, when you were already leading on climate change.  Great to see you again with @GovJanetMills &amp; @MaryNicholsCA at the Climate Action Summit last week. Your leadership is crucial! https://t.co/HdgF9SwUTx",Nick Bridge,2019-10-01 18:51:12
@boucherhayes @pjgallagher Notice they are not electric either. Thought the government are telling us electric is the only way to go to combat climate change,Derrick Bell,2019-10-01 18:51:10
"All you sick people that are happy fall is here just stop yourself. You know what comes after that? That's right, Fn freezing ass cold, and shoveling, and sliding on GD stairs so knock it off and start being happy for the 80s and global warming on 10/1. That is all.",Bacon on a Stick,2019-10-01 18:51:07
"@NUPGE has released a great voters' guide to help members learn more about the policy positions of the different federal parties, diving into such issues as daycare, seniors' care, Pharmacare, and climate change. Take a look! #cndpoli 
https://t.co/XsyZcGNbWI",HSABC,2019-10-01 18:51:06
It was so windy today at about 5.30pm. I thought of climate change but I know God is in control.,Annemarie Nkirote,2019-10-01 18:51:05
"@333333333433333 @ancomDumbdumb While you're at it, check out this 2007 album about the war we're still in, and also how we should probably deal with the climate change we still haven't dealt with, and also about how racism and religious zealotry should be dealt with somehow, among other things... https://t.co/jXDOayWiri",delete system32 to own the libs,2019-10-01 18:51:04
Al Gore is a corrupt person that has profited $300 million on climate change! https://t.co/M2iC18Kz2J,David Shafto,2019-10-01 18:50:58
you are being  used and exploited  to fight a battle that will never ever  be won by no human being ever climate  change  have  been  happening  since the earth was created  over 40 billion  years ago,kyle,2019-10-01 18:50:55
"climate change discourse on here is wicked. started out w that video of the straw and the turtle, to then banning all straws, to adopting paper/metal straws, and then reverting to ""actually straws arent hurting the environment...its the corporations"". its all a bit exhausting.",daniel ahmed,2019-10-01 18:50:54
"@lastmountain36 @MichaelMcKenna8 @Richie_manic @ralphbalexander It’s not that they happen BECAUSE of climate change, it’s that climate change is making them worse and more frequent. 🤨",John Kale,2019-10-01 18:50:54
Welcome to Planet X Climate Change - Australia is set to sizzle for the ... https://t.co/ks4ywXSf0J via @YouTube,Janett Wawrzyniak,2019-10-01 18:50:50
🤣🤣 Green! https://t.co/4cB6QOVTDv,Bobbi June Martin,2019-10-01 18:50:50
"Am I the only one beginning to wonder if it’ll ever actually feel like fall..... 
like what if the idea we all have of a cool weathered October is only a memory now, due to global warming",Lacy☽,2019-10-01 18:50:48
Climate Change Could Send Wheat-Growing Areas Into Drought #ClimateCrisis #FoodSecurity https://t.co/bbEIBsAZmx via @ModFarm,Anita Woodruff,2019-10-01 18:50:48
"A new line of attack in the climate fight is emerging in the courts, as litigants seek relief for the harm caused by failing to prepare for climate change impacts such as extreme precipitation, bigger wildfires, sea level rise, and more extreme heat. https://t.co/jYCLygjVcr https://t.co/NIevS7pxwY",BulletinOfTheAtomic,2019-10-01 18:50:47
"Bingo! But, but... Climate change is a hoax! 🧐

#sarcasm
#eschatology
#youmaypanicnow https://t.co/KBlVAXG3x2",Mario Olckers,2019-10-01 18:50:42
"@imaroland @cspanwj @jamil_n_jaffer @MasonNatSec MAN-CAUSED LIBERAL CHANGE, not ""climate change"", is a bigger threat to mankind.

If we don't do something to stop 'Man-Caused Liberal Change', we'll all be dead in 12 years.",HURRICANEPAUL,2019-10-01 18:50:41
"Has there been any push to rebrand “home economics” as crucial for climate change. There are so many skills that I should have learned: 1) how to fix holes in my daughters pants, 2) How to best store produce to avoid food waste, 3) how to fix/clean using less paper products.",whitney thornton,2019-10-01 18:50:41
"@margl43 Funnily enough I was a journalist writing about climate change in 1989 and none of my friends at the time, including Suzanne Moore, were very persuaded by my angst. Lesson learned? Be more Greta!",Shelagh Young,2019-10-01 18:50:41
Greta Thunberg's four simple steps to combat climate change | CTV News #SmartNews  https://t.co/aKOtqiqUXL,Lisa Clarke,2019-10-01 18:50:38
How to talk to your kids about their climate anxiety https://t.co/qyA7Wvbhf1,lovefrommomcampaign,2019-10-01 18:50:36
"Quick fire rejected titles/concepts for YA novels:
HASA DIGA EEBOWAI: A queer romance set to the backdrop of a Climate Change-ravaged New York. Thunberg was right!
SEXY WEREPANTHERS IN THE ALTOGETHER: Cat people and Riverdale. Two great tastes that..are together.",The Vault of Lost Ideas,2019-10-01 18:50:35
If you don’t believe in climate change. Here is a fact for you: Today is October 1st and it’s 80F/32C degrees outside in Pittsburgh. #ClimateCrisis,Enas,2019-10-01 18:50:33
"@paulkrugman Climate change contradicts the Right's entire ideological construct.  It proves that markets must be regulated to some degree by government.   Left to their own, they will quite literally destroy the planet.  So they have no choice. Climate change has to be a hoax.",GrooTheWanderer,2019-10-01 18:50:32
@AlanShipnuck @Steve_Flesch For now. Most Cali liberals believe climate change will raise that sea level and that beach will be gone,Brandon Olson,2019-10-01 18:50:31
next person to say climate change isny real ima go off,Iz_snake,2019-10-01 18:50:26
@higgyboson @annispice @GretaThunberg I think Greta needs a strapping 6th former to have more than a word with her. Might take her mind off this manmade climate change nonsense she's spouting.,Stevie Rob #GTFO,2019-10-01 18:50:25
@Lots_Of_Fun_69 he's like that other climate change child. he should be in school. how dare he.,anthony powys,2019-10-01 18:50:23
"Judge: Government must consider #climatechange in #oil drilling leases - @CNNPolitics https://t.co/m1Lb6Hmcma
Trump won the election just to make the opposite https://t.co/cLoiJoBRVg",Robert Pujol i Vives,2019-10-01 18:50:23
climate change watching me buy clothes for the cold: https://t.co/WyRHLjToSz,sad beaner 🦇✨,2019-10-01 18:50:23
Marxists hope to take over the world by terrifying children about climate change | The Pulse | Lifesitenews https://t.co/9CIPNSjaid,John Smith,2019-10-01 18:50:21
@TheBryceGibbons global warming bruh,allie dobbins,2019-10-01 18:50:18
Algae might be a secret weapon to combatting climate change https://t.co/yRtXr6rLQj via @qz,lovefrommomcampaign,2019-10-01 18:50:17
"4/ ... Stopping climate change necessarily entails not only ending all that, but global unilateral disarmament. And it really has to be global, since any country that doesn't play along will be able to deploy an army that literally runs circles around any that do. ...",Tim Havel,2019-10-01 18:50:06
"Yes, they can. The evidence can be found in a report for the Global Warming Policy Foundation titled ‘Plus ça change - The UK climate in 2018.’",Mighty Lone Wolf 🐺,2019-10-01 18:50:06
"i love how there’s 4 feet of snow in Montana rn, 90° in Michigan, and a wind storm just hit Indiana, but “cLiMaTe cHaNgE iSn’T rEaL”",Busty Alexa,2019-10-01 18:50:06
"@cathmckenna @environmentca @JustinTrudeau @AndrewScheer More Proof That Catastrophic Modern-Day ‘Global Warming’ Doesn’t Exist - USCRN
https://t.co/YmWlXSoSYU https://t.co/26yerb4FWM",Lensfocus,2019-10-01 18:50:03
@CNN Climate Change is real #thankstrump,Clown World,2019-10-01 18:50:00
"@Exelon Stop all the climate change radical unsubstantiated warming freaks from private jetting all over for their little meetings while their mansions keep burning unlimited amounts of electricity.
Just going for the longest sentence record.

Illeagal aliens.",🇺🇸 conan doyle 🇺🇸 nationalist 🇺🇸,2019-10-01 18:49:58
"Opportunity to attend conference on global warming! Request discounted tickets by October 7. Conference is Oct. 18-20 in Rhinebeck, NY. More details on conference &amp; tickets here: https://t.co/uuH7rBQ5rE #climatejustice #globalwarming #climateaction #youthlead https://t.co/kmpnMlR7kG",UU UN Office,2019-10-01 18:49:57
@Carbongate @john95837252 I'll leave everything I own running all night to help global warming,Jon Snow,2019-10-01 18:49:55
"Have u ever considered the fact that u, the consumer, also might be the reason for climate change? #tbt",Michael Borkowski,2019-10-01 18:49:53
I am so mad. One of my teachers preaches straight bullshit to my class. We spent days learning about how climate change/global warming ISNT REAL. Then he mentioned that it’s “the abortion crowd pushing their agenda”.  What world do you live in? What is the correlation?,leck🕷,2019-10-01 18:49:49
"@ZackPolanski Questions were a bit weak. Stick to the important stuff. NHS, education, economy, and climate change - how does (no deal) Brexit help any of these?",Matt Ritson,2019-10-01 18:49:47
"@USAlivestrong The subject was all aspects of climate change, because that’s the subject, but they expressed themselves with entirely different words.",Dian,2019-10-01 18:49:46
Greta Thunberg: Fake as the Climate Change Hoax - https://t.co/EnZXQ6i7tU,Obedient Worker,2019-10-01 18:49:45
The desperation for provincial government money is showing.   University of Alberta VP resigns following controversial climate change billboard https://t.co/dWlq1UPqdp  @UAlberta @globeandmail @TorontoStar @albertaNDP,Asif Iqbal Malik,2019-10-01 18:49:45
"Climate change, words from Arnold @Schwarzenegger, and @GretaThunberg who said 
""We are in the beginning of a mass extinction and all you can talk about is money and fairy tales of eternal economic growth - how dare you!"" 
at United Nation to world leaders
https://t.co/3iSwDnohz6",Bill熊🐻 Hung,2019-10-01 18:49:43
"@PEF_online @RichardJMurphy The more concerned you are with climate change the more concerned you should be with affording fighting climate change. 
That requires keeping all climate-change-fight’s political and financial profiteers very far away from the battlefront. 
Are they?
https://t.co/mbfASql0mK",Per Kurowski,2019-10-01 18:49:41
@idyllicisa Would also help if this country had people that believed in climate change in the first place.,CDizzle,2019-10-01 18:49:39
"Bickner, now 28, quickly recognised that having a child in America – let alone four, five or 13 – would be the single most carbon-intensive choice she could make. https://t.co/JilHNPHQi3",Ann Gleig,2019-10-01 18:49:37
Think of all the airmiles that cost. So Pro climate change https://t.co/F6XtHRTONc,"UK #brexiteer, follow all brexiteers,",2019-10-01 18:49:30
"And I'm sorry, but sustainable living and fighting climate change is a friggin' expensive affair. I try to do it, because the problem is real, but I can't do much, because I can't fucking afford it.",Helen' Ratchet,2019-10-01 18:49:26
"Okay. I was going to stay away from this, but they're gonna raise the excise tax rates on fuel AGAIN.
Big guns don't give a shit about climate change. They do give a shit about the money they can squeeze out of ordinary people under the veil of fighting climate change.",Helen' Ratchet,2019-10-01 18:49:25
"No honour among climate change dengying racist incels?

Who knew.

#elxn43 https://t.co/eabZeyQJTN","Andy, dialed in",2019-10-01 18:49:20
@IlhanMN Tweeting this doesn't make Person-Made Climate Change real.,JB,2019-10-01 18:49:16
"They going be delighted being poorer more insecure, suspect they care little about climate change either https://t.co/CAZ3LoVHdG",Mark Stacey,2019-10-01 18:49:14
About that whole using global warming to enslave humanity thing.,Alfred. F Jones,2019-10-01 18:49:14
"@FrSatish We place so much attention on abortion because it’s legal and accepted by the culture. It’s not legal, nor is it acceptable, to kill asylum seekers or migrants. And there’s a variety of opinions accepted to mitigate gun violence, climate, change, and immigration.",Matthew Bosnick,2019-10-01 18:49:14
So I guess all the people who don’t believe in climate change are just ignoring the fact that it’s October 1st and 92 fucking degrees outside rn LOL,Alexis Nicole,2019-10-01 18:49:13
"My grandma says vote ABC because climate change is the one thing we on the left all agree on, we can't afford Scheer driving up emissions by widening roads, when we need them to go down.
#cdnpoli https://t.co/jIZ07KKkEG",Vote ABC 4 Climate Action Canada Country b4 party!,2019-10-01 18:49:12
Global Warming is a big problem https://t.co/E2m5dL8QmU,Shane Isaacson,2019-10-01 18:49:12
"What Are Climate Change “Hot Spots”: https://t.co/lYVCOIS8zl
#climatecrisis #actonclimatechange https://t.co/oBvu0acfjM",GlobalClimateChange,2019-10-01 18:49:11
@WoodlandTrust I'll be helping. Please @WoodlandTrust vital to promote the end of fossil fuels. Danger if seen as offsetting. Saplings won't take up much CO2 for some years; meanwhile much more CO2 &amp; climate change &amp; old &amp; new trees will die. Emitting yet more CO2.,Sarah Warren 🌍,2019-10-01 18:49:09
"@RealABDickson @MorganZegers The elite don’t have to stoop to climate change prevention. BC , you know, they are, well, elite! And they don’t believe it either or they would as scared as they have  made the younger generation.",DGhears,2019-10-01 18:49:08
"@TrueFactsStated Climate change is as big a threat to Christians as non-Christians. Don’t get that they don’t love the earth, their children, and grandchildren.",Evelyn Beebe,2019-10-01 18:49:06
@GringoStarrSF I'm personally seeing more people going vegan for health reasons. I see so many people talking about climate change who aren't vegan. I don't get it! #veganhour,Heavenly Organics,2019-10-01 18:49:06
"I have a 15 yo niece I'd like to be around to watch her wedding in years to come .
If we don't address this climate change issue as one voice and collective action world wide and not mearly words were FECKED
Some choose nice words
I CHOOSE to tell it like it Is 
Make your will 🗿 https://t.co/kzDraGlJhE",Bullet the blue sky,2019-10-01 18:49:06
@jodirren RANT!!  Put climate change information on the work frig.,Maureen,2019-10-01 18:49:01
"Trudeau gives out foreign aid to countries like China, Brazil, etc with the expectation of it being used towards climate change initiatives?

You'd have more success using that money towards building a weather dominator out of an episode of G.I. Joe if that's your plan.",Lennyberg,2019-10-01 18:49:01
"@jimkat2 @SBSNews This should be the take away - celebrity is adding awareness and expressing the urgent need for action by all countries to combat climate change.
This is a good thing. full stop",David Sadler 🖖🏳️‍🌈,2019-10-01 18:49:00
Looking for books to research energy and climate change. #jjflynn #bsdvt https://t.co/hxqwxmqmDK,Mr. Mack's Class,2019-10-01 18:48:58
Megan and ginger nut rubbing it in again. Climate change my ar*e!  Disgusting https://t.co/MNmOa5couP,Linda,2019-10-01 18:48:57
"@HandsyJoseph @craig_steger @IlhanMN An increase in temperatures in a given year isn't climate change,  it's a change in weather conditions. See, we too can play this stupid game.",Lenny,2019-10-01 18:48:56
"@Marcym My problem is Harry preaching us about climate change and telling us that we should stop being greedy, apathetic and selfish while they do whatever they want to do. IMO that is just wrong. 🤷🏻‍♀️",AllThingsRoyal,2019-10-01 18:48:53
"In this post, Kaeser suggests climate activists haven’t been proposing economically viable climate change solutions. 

They would say they have, he and they just differ on the definition of “economically viable.” https://t.co/RuLrHXTBy7",Booliver “2 degrees warming” Sachgau,2019-10-01 18:48:53
I'll be helping.  Cut fossil fuels too. Too late for offsetting. Saplings won't take up much CO2 for some years; meanwhile much more CO2 &amp; climate change &amp; old &amp; new trees will die. Emitting yet more CO2. https://t.co/Gw1WrWWfew,Sarah Warren 🌍,2019-10-01 18:48:52
@AnthonyOxon @YourMarkLubbers Climate change is a hoax! https://t.co/lF8vRPTtUe,DgB,2019-10-01 18:48:51
"the welsh were forced to dig coal that would one day guarantee our homes will become a blasted wasteland. climate change is all we were forced to achieve. our home will be gone one day. the sadness of exploitation for mining, and over 700 years of english rule, it's unbearable.",Everything Is Pretty Bad,2019-10-01 18:48:50
"Global warming!? 

George Carlin's Greatest Speech https://t.co/dFdPAsHeKZ via @YouTube",Z,2019-10-01 18:48:50
Global warming is China's fault,Conrad Satermo,2019-10-01 18:48:48
"@thefuckistevvs True. But she's also an example. If she's putting herself forward by speaking on the climate change subject in a public light, her actions should speak for themselves. 
She's meant to be the generation that knows better now. The one to start the change in the 1%.

So change.",Gato Ishwary,2019-10-01 18:48:48
"Global Warming Fraud Exposed In Pictures

#BreakingNews #Breaking #GlobalWarming #ClimateChange #ClimateCrisis

https://t.co/4KnADVxaoa",Infinite Unknown,2019-10-01 18:48:44
super terrified about how hot it is today and how it’s october 1st? climate change is real and out there homies,bruh,2019-10-01 18:48:42
"@bcoolrob @billieeilish @GretaThunberg Climate change isn't a left vs right thing, it's a ""you're an absolute smooth brain if you don't realise what the planet is going through and even if you don't believe in it we should still take care of the world we live in for ourselves and future generations"" thing",Lil Judd,2019-10-01 18:48:42
