keyword,tweet,username,creation date
Global warming,@PrettyBoyMweza hamba global warming! hayi lantsoooo,blue baby,2019-10-07 08:45:41
Climate change,"@cooely5281 Climate Change is real hoax, it is a way to control people's lifestyles &amp; money. Paris Accord was collecting billions from countries worldwide. Those billions were taxpayer $'s. While they were jetting around the world &amp; being driven in Lg cars,  eating fine cuisine, fine hotels",Xari⭐🌟⭐,2019-10-07 08:45:41
Climate change,@StopThatStuper @Charles68431225 @OwenJones84 @elbobaggins No you are a joke. The planet is being destroyed and rapid climate change and you think nuclear weapons should be on the political agenda of the UK. We have poverty homelessness and a disappearing nhs Nukes ain’t going to solve anything,Rosa 🌹,2019-10-07 08:45:39
Climate change,"How does one get a person who believes in the sea level rise aspect of climate change, but refutes other things such as tidal flooding &amp; more frequent and stronger storms, to accept the latter? What's that convo like?",pumpkin spicentist,2019-10-07 08:45:38
Climate change,"“People think going vegan, banning single-use plastic and recycling will stop climate change – it won’t. Government has to act, and it’s on us to cause these disruptions to force them to. This has to be a mass movement.”",Jose Carlos Ataíde,2019-10-07 08:45:35
Climate change,@rjlavo22 @BethanyinCBR @HonTonyAbbott CLIMATE CHANGE : Religion Unmasked https://t.co/EElPtF64U4 via @JWSpry #ClimateCrisis,Damo,2019-10-07 08:45:34
Climate change,"@Bluecent65 @dewalke @Joe_Hildebrand @beneltham But that’s half of the problem, i am so sick and tired of people complaining about climate change saying ‘we need to do something’ yet no one can come up with a solution that’s a viable option or any solution at all.",Heath Tudor,2019-10-07 08:45:30
Climate change,@theresphysics Spiked is paid for propaganda funded by US ultra rich climate change deniers. There is a real #ClimateEmergency &amp; the #ExtinctionRebellion is a rationale response to get attention for the biggest political challenge we face Especially as dealing with it is crowded out by #Brexit,Liz Crosbie #FBPE5000,2019-10-07 08:45:28
Climate change,"@theprojecttv I am sick of seeing the outback struggle for water year after year while polies throw money at the problem without any LONG TERM FIX.
How will country eat if the farmers and grassier become extinct due to climate change and STUPID Plies??",Simon Templer,2019-10-07 08:45:27
Global warming,"@DuncanWeldon Debt:GDP .. our new enemy shall now be 🥁🥁🥁 .. global warming and climate, we shall gain the same level of GDP and the same level of debt (in actuality as there is a Solow G productive component), would likely be less debt, more favorable.  Food for thought.",H-Fin Capital Advisors (aka WM-24),2019-10-07 08:45:26
Climate change,Climate change isn’t real,gage,2019-10-07 08:45:18
Climate change,"How does climate change impact agriculture and lead to problems with food security? https://t.co/BV0z52xlXH
#climatecrisis #actonclimatechange https://t.co/d1guDMg1So",GlobalClimateChange,2019-10-07 08:45:17
Climate change,"To meet the climate targets set by the Paris Accord, we will need to change the way we travel. Learn how green bonds could help car manufacturers and investors in the transition to a low-carbon future: https://t.co/jpzxI7RzRk https://t.co/jdy7ELiD88",Jeroen Bruckwilder,2019-10-07 08:45:16
Global warming,Check out https://t.co/voYD9eL5xX. It's a great way for individuals to make a difference on climate change.,Montana Black,2019-10-07 08:45:14
Climate change,I've signed the petition demanding urgent action to stop the #ClimateCrisis now. Will you add your name? https://t.co/zgXMTOOD1x,Maria Charnock,2019-10-07 08:45:09
Climate change,@VistaEarth Global Warming?,Frank Sandt,2019-10-07 08:45:07
Climate change,The effort and theatre of climate change protests could perhaps be more effective in an electorate that isn't the greenest in Australia.,Dr Simon Keam 🧬,2019-10-07 08:45:06
