tweet,username,creation date
 upma23 gitaskapoor i was wondering why anybdy would have a problem with a girl talking about climate change and then i bother to see their profiles and turns out theyre all gobhi ji bhakts what do you expect i pity you maam,ShudhDeshwasi,2019-09-24 12:21:36
 iam platform curated tweet many major central banks minus us fed taking action on climate change risks  insurance journal  adaptation antarctica arctic carbondioxide climateaction climatechange topinfluence iamplatform,IAM Platform,2019-09-24 12:21:36
 jordanuhl christopherhahn the disrespect greta thunberg has done more for climate change than any leader in power and you have the nerve to invalidate her because she has aspergers and how the hell is this a religious movement,livleen🌻,2019-09-24 12:21:35
 dodiewill2 jerryhow777 kitcars37418763 if indeed it especially appalling when parents allow their children to be used as pawns it wouldnt be so bad if it was truthful but this climate change is just so much bs real independent scientists not on the take are speaking out about the fallacy being put forth,Julius Maresh,2019-09-24 12:21:35
 markyoungtruth chuckwoolery berniesanders the democratic communist party are so arrogant to think that they can change the course of mother nature just by taxing us really are you kidding it was the ice age in the 60s then it was global warming and now climate change the world coming to an end blah blah blah blah blah,RWH,2019-09-24 12:21:34
 marcuscvance hi im climate changechinchilla,Literaltrash,2019-09-24 12:21:33
 mcallisterden michaeljknowles two things can be true 1 yes aspergers is a mental illness diagnosis technically my son has it amp we get ssi because it is but 2 he said it in a way that was demeaning amp cut her down even tho i didnt agree with greta or the hysteria on climate change this was a low blow,Sherilyn🌹Love 💕to everyone 🌍,2019-09-24 12:21:33
 trump has mocked a reporter with a disability gold star family teenager fighting climate change ,Doug Gordon,2019-09-24 12:21:32
 richardmoore 2 she was later diagnosed with autism and obsessive compulsive disorder and gradually became despondent as she obsessed over her fear of climate change she developed mutism and an eating disorder so severe that she once went two months without food,Benjamin Roberts,2019-09-24 12:21:31
 your cardus excerpt for today this one is about climate change oh and dont forget council voted unanimously to declare a climate emergency nocardus ,Graham Crawford,2019-09-24 12:21:30
 jennysampson16 drgjackbrown sbsnews not sure if this is a good representation as the former president obviously doesnt believe in climate change,Tommy T. 103,2019-09-24 12:21:30
 privatecarfree not sure if the generation of the electricity needed to power our economy has been thought through yet could mean power outages in the future is weather related to climate change heads our way as is happening in many other parts of the world,Eric Hawkins,2019-09-24 12:21:30
 i dont understand how some people can be so angry at these kids that are trying to reel in these megacorporations from polluting our planet whether you believe climate change is a hoax or not why are you ,Bernard Alvarez,2019-09-24 12:21:30
 jimmykimmel gretathunberg you 2 are just fine examples of the failed education system of this world typical democrat liberal fear mongering im reallly surprised yall didnt blame a ar 15 for climate change,David Grigg,2019-09-24 12:21:30
 kokomothegreat stellabella2u indyj19 realdonaldtrump ohhhhhh blocking cant take the climate change heat huh climatechangehoax,Dale Morvaji,2019-09-24 12:21:25
 the hype around climate change right now is giving me more nausea than the climate change itself ,Trime Halili,2019-09-24 12:21:25
 this world is a fucking garbage fire thanks to climate change probably literally ,Chen Drachman,2019-09-24 12:21:24
 greta thunberg spoke at the united nations climate action summit on monday she called on world leaders to do something about climate change saying you are failing us but young people are starting to understand your betrayal the eyes of all future generations are upon you ,WHNT,2019-09-24 12:21:24
 if they didnt want people disagreeing with a 16 year old girl they shouldnt have trotted her out you dont know my stance on climate change if you do tell me what it is ,Sinatra,2019-09-24 12:21:23
 raidersviking gandalfthewhi19 one block which cries about man made climate change and the other side which just says that man has no influence on climate,NPC #10472,2019-09-24 12:21:23
 newsfeed sonys ps5 and microsofts xbox join the fight against climate change  both sony and microsoft on mon,Valerian's Realm,2019-09-24 12:21:23
 anshumig natsecjeff gretathunberg i wasnt implying that we shouldnt fight climate change but the sudden rise of a activist and the orchestrated events behind it just because the cause is noble doesnt whitewash this drama you may ignore itbut people talk and ultimately these dramas harm the real goal,BURNOL_supplier💣🇮🇳,2019-09-24 12:21:22
 i dont see laura doing one thing about climate change you people really have the nerve to insult a child who is going across the world to spread awareness again who cares what laura ingraham says she is irrelevant and i hope shes fired ,Jeffrey,2019-09-24 12:21:22
 thom yorke calls himself climate change hypocrite radiohead frontman struggles with ,Roquerito,2019-09-24 12:21:21
