keyword,tweet,username,creation date
Global warming,"(Source, among others: “It may not come as a surprise that the largest industrial military in the history of the world is also the single biggest polluter on the planet.” https://t.co/Zac0fMplAm)",Khairani Barokka,2019-10-08 12:28:19
Climate change,@piersmorgan A snowflake such as yourself should be very worried about global warming and rain.,Steve Purves,2019-10-08 12:28:19
Climate change,There are words that have two different and opposite meanings.  This reminds me of climate change and Yom Kippur. #tftd #r4today,TFTD Abridged,2019-10-08 12:28:19
Climate change,@StrangeRichard Yeah coz nobody ever heard of climate change before the girl whose childhood was stolen ( never explained ) or ER,William Donovan,2019-10-08 12:28:18
Climate change,"“Judges are bound by precedence, but they cannot ignore cultural change. A court ought not be affected by the weather of the day, but will be by the climate of the era.” 

Today’s another day to continue our fight for human rights",G✨,2019-10-08 12:28:12
Climate change,Oh look... another Brexiter who doesn't believe in climate change. https://t.co/45rccaXF7w,smtfhw #FBPE #ResistUK,2019-10-08 12:28:09
Climate change,"91% know this man made climate change is a hoax. Sorry globalists, you're not fooling us. https://t.co/1iUGchQIc8",d bur Nationalist 🇨🇦❤️️🇮🇱 & ❤🇺🇸,2019-10-08 12:28:08
Climate change,@Chasingharmony1 1 tree can do more to fight climate change than dougie. But since dougie is a science denier he'll doom us to a wasteland.  What does he have against trees. Or clean air.,Susan forrest,2019-10-08 12:28:07
Climate change,@Real_STrader @Nigel_Farage They protest the irresponsible abuse of the environment and the resultant pollution and climate change. They propose more responsible policies and behaviours regarding such and wish to highlight the issue to the public and pressure governments and big business.,Bright Brexit Future,2019-10-08 12:28:05
Climate change,"#ExtinctionRebellion
@ecomarchnortha1
@XRLondon
Climate change is real and Extinction Rebellion acts like a cult!
Not good! We need to do something about climate change but not join a dangerous cult.",Andrew Whitney 2,2019-10-08 12:28:04
Climate change,"Rethinking Climate Change Reform: Fair Observer https://t.co/uF2ptsCGuG

MORE w/ EcoSearch - news: https://t.co/7464se7K6u web: https://t.co/7ZUyqSD4kw",EcoInternet,2019-10-08 12:28:04
Climate change,"""We can grow the economy while achieving our climate change objectives""

Except that you can't Paschal, unlimited growth is a myth if you intend saving the planet. 

#budget20",martinmcmahon,2019-10-08 12:28:03
Climate change,"I'm glad the IMF research department is now exploring fiscal, financial and monetary policy instruments for climate change mitigation, while noting the limits of carbon pricing and rejecting Integrated Assessment Models. It shows the consensus is shifting

https://t.co/awApMPdC2f",Max Jerneck,2019-10-08 12:28:02
Climate change,"@BrianQuinn1776 @CraigAr64 I like the sign ""the climate is changing why aren't we "".  The answer is we can't stop it and we love our transportation planes and autos.  Volcanoes also contribute more to climate change than we do, so I say stop the volcanic activity.  😊",Debbie Conner,2019-10-08 12:28:00
Climate change,"""Climate change is without doubt our defining challenge."" #budget2020 https://t.co/vOm6l6XCCR",SPIN 1038,2019-10-08 12:27:55
Climate change,"Great work here: In fast-thawing Siberia, radical climate change is warping the earth beneath the feet of millions https://t.co/crCNyL2hw6",James,2019-10-08 12:27:54
Climate change,"@ellymelly @AStrongerOZ I'm not ""jumping to"" anything. We've spent the past 40 years failing to move on climate change, so I'm laying out the choices we have at this point of time. Nowhere have I stated enslavement, that is a straight up lie.",Krazy Kucks,2019-10-08 12:27:51
Climate change,"Paschal Donohoe says ""climate change is, without doubt, our defining challenge. We need to prove that we can grow the economy while reducing our environmental impact"". #budget2020",Today FM News,2019-10-08 12:27:51
